餐廳名稱,地區,地址,Address,座標,電話,營業時間
印度皇宮(華泰名店城)India Palace,桃園市Taoyuan City,桃園市中壢區春德路189號2樓,"2F., No. 189, Chunde Rd., Zhongli Dist., Taoyuan City 320, Taiwan (R.O.C.)",待跑座標,(03)2870823,10:00~21:00
印度皇宮(台南南紡購物中心)India Palace,臺南市Tainan City,臺南市東區中華東路一段366號2樓,"2F., No. 366, Sec. 1, Zhonghua E. Rd., East Dist., Tainan City 701, Taiwan (R.O.C.)",待跑座標,(06)3006828,11:00~21:00
香料國境Indian Restraurant,宜蘭縣Yilan County,宜蘭縣羅東鎮四育路83號,"No.83, Siyu Rd., Luodong Township, Yilan County 265, Taiwan (R.O.C.)","24.678303, 121.760149",(03)9610086,週二~週五11:00-15:00 週四~週六17:00-20: 週一週日公休
莎堤亞印度料理台北店Saathiya Indian Cuisine Taipei,臺北市Taipei City ,臺北市中正區信義路二段195號2樓,"2F., No.195, Sec. 2, Xinyi Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)",待跑座標,(02)23432513,11:30-14:30、17:30-21:30週一公休
莎堤亞印度料理桃園店Saathiya Indian Cuisine Taoyuan ,桃園市Taoyuan City,桃園市桃園區中正路20號9樓,"9F., No. 20, Zhongzheng Rd., Taoyuan Dist., Taoyuan City 330, Taiwan (R.O.C.)",待跑座標,(03)3320498,11:00-22:00
帕比絲手作印度廚房Bhabhi's India Restaurant,新竹市Hsinchu City,新竹市金山23街69號,"No.69, Jinshan 23rd St., East Dist., Hsinchu City 300, Taiwan (R.O.C.)",待跑座標,(03)5678591,11:30-14:00、17:30-21:00週一公休
香料屋印度咖哩Indian Cuisine,臺中市Taichung City,臺中市西區健行路1066號,"No.1066, Jianxing Rd., West Dist., Taichung City 403, Taiwan (R.O.C.)",待跑座標,(04)23272767,11:30-14:00、17:00-21:30週一公休
瑪哈印度餐廳Maharaja Indian Restaurant,高雄市Kaohsiung City,高雄市前金區中山二路537號,"No. 537, Zhongshan 2nd Rd., Qianjin Dist., Kaohsiung City 801, Taiwan (R.O.C.)",待跑座標,(07)2153838,11:30-14:00、17:30-21:30週一公休
印度皇宮(華泰名店城)India Palace,桃園市Taoyuan City,桃園市中壢區春德路189號2樓,"2F., No. 189, Chunde Rd., Zhongli Dist., Taoyuan City 320, Taiwan (R.O.C.)",待跑座標,(03)2870823,10:00-21:00
印度皇宮(大魯閣草衙道)India Palace,高雄市Kaohsiung City,高雄市前鎮區中安路1-1號,"No. 1-1, Zhong'an Rd., Qianzhen Dist., Kaohsiung City 806, Taiwan (R.O.C.)",待跑座標,(07)793-2211,11:00-21:00
印度皇宮(台南南紡購物中心)India Palace,臺南市Tainan City,臺南市東區中華東路一段366號2樓,"2F., No. 366, Sec. 1, Zhonghua E. Rd., East Dist., Tainan City 701, Taiwan (R.O.C.)",待跑座標,(06)3006828,11:00-21:00
印度皇宮(夢時代購物中心)India Palace,高雄市Kaohsiung City,高雄市前鎮區中華五路789號 藍鯨館7樓,"7F., No. 789, Zhonghua 5th Rd., Qianzhen Dist., Kaohsiung City 806, Taiwan (R.O.C.)",待跑座標,(07)8418808,11:00-22:00
